# Crystal Eye Ground Track  |  i=5  |  h=550 km
# Inizio missione: 2031-01-01 00:00:00 UTC
# Passo temporale: 8 s  |  Durata: 95.65 min (1 orbita)
#
# Colonne:
#   UTC_datetime       : timestamp ISO 8601
#   X_ECI_km           : posizione ECI asse X (km)
#   Y_ECI_km           : posizione ECI asse Y (km)
#   Z_ECI_km           : posizione ECI asse Z (km)
#   X_ECEF_km          : posizione ECEF asse X (km)
#   Y_ECEF_km          : posizione ECEF asse Y (km)
#   Z_ECEF_km          : posizione ECEF asse Z (km)
#   lat_deg            : latitudine geocentrica (gradi)
#   lon_deg            : longitudine (gradi)
#   alt_km             : altitudine sul geoide (km)
#
UTC_datetime              X_ECI_km      Y_ECI_km      Z_ECI_km     X_ECEF_km     Y_ECEF_km     Z_ECEF_km     lat_deg     lon_deg      alt_km
2031-01-01T00:19:44     -6639.9653     1889.8730      581.2146    -6452.2659     2455.4071      581.2146      4.8123    159.1657    550.0000
2031-01-01T00:19:52     -6656.1789     1831.5017      582.6260    -6472.0522     2402.4273      582.6260      4.8240    159.6351    550.0000
2031-01-01T00:20:00     -6671.8834     1772.9902      583.9926    -6491.4075     2349.2873      583.9926      4.8354    160.1044    550.0000
2031-01-01T00:20:08     -6687.0774     1714.3430      585.3145    -6510.3305     2295.9908      585.3145      4.8464    160.5738    550.0000
2031-01-01T00:20:16     -6701.7599     1655.5648      586.5914    -6528.8199     2242.5412      586.5914      4.8570    161.0433    550.0000
2031-01-01T00:20:24     -6715.9296     1596.6598      587.8234    -6546.8745     2188.9421      587.8234      4.8672    161.5127    550.0000
2031-01-01T00:20:32     -6729.5856     1537.6327      589.0102    -6564.4931     2135.1971      589.0102      4.8770    161.9821    550.0000
2031-01-01T00:20:40     -6742.7267     1478.4880      590.1519    -6581.6746     2081.3098      590.1519      4.8865    162.4516    550.0000
2031-01-01T00:20:48     -6755.3520     1419.2301      591.2483    -6598.4177     2027.2837      591.2483      4.8956    162.9211    550.0000
2031-01-01T00:20:56     -6767.4605     1359.8637      592.2993    -6614.7213     1973.1226      592.2993      4.9043    163.3905    550.0000
2031-01-01T00:21:04     -6779.0513     1300.3933      593.3049    -6630.5845     1918.8299      593.3049      4.9127    163.8600    550.0000
2031-01-01T00:21:12     -6790.1234     1240.8233      594.2650    -6646.0061     1864.4093      594.2650      4.9207    164.3296    550.0000
2031-01-01T00:21:20     -6800.6761     1181.1584      595.1795    -6660.9850     1809.8644      595.1795      4.9282    164.7991    550.0000
2031-01-01T00:21:28     -6810.7085     1121.4032      596.0484    -6675.5204     1755.1990      596.0484      4.9355    165.2686    550.0000
2031-01-01T00:21:36     -6820.2199     1061.5622      596.8715    -6689.6112     1700.4165      596.8715      4.9423    165.7382    550.0000
2031-01-01T00:21:44     -6829.2095     1001.6399      597.6488    -6703.2565     1645.5207      597.6488      4.9487    166.2077    550.0000
2031-01-01T00:21:52     -6837.6767      941.6411      598.3803    -6716.4553     1590.5153      598.3803      4.9548    166.6773    550.0000
2031-01-01T00:22:00     -6845.6208      881.5702      599.0659    -6729.2068     1535.4038      599.0659      4.9605    167.1469    550.0000
2031-01-01T00:22:08     -6853.0411      821.4318      599.7055    -6741.5102     1480.1900      599.7055      4.9658    167.6164    550.0000
2031-01-01T00:22:16     -6859.9372      761.2306      600.2991    -6753.3647     1424.8776      600.2991      4.9707    168.0860    550.0000
